	Description	KEGG Ontology
6666666.754255.peg.363	N-acetylmannosamine kinase (EC 2.7.1.60)	KEGG_ENZYME:2.7.1.60
6666666.754255.peg.364	Transcriptional regulator%2C RpiR family	
6666666.754255.peg.365	tRNA-dihydrouridine synthase 2	
6666666.754255.peg.366	Exopolyphosphatase (EC 3.6.1.11)	KEGG_ENZYME:3.6.1.11
6666666.754255.peg.367	Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)	KEGG_ENZYME:1.1.1.34
6666666.754255.peg.368	FIG00773543: hypothetical protein	
6666666.754255.peg.369	NAD-dependent protein deacetylase of SIR2 family	
6666666.754255.peg.370	UPF0759 protein YunF	
6666666.754255.peg.371	hypothetical protein	
6666666.754255.peg.372	FIG00748869: hypothetical protein	
6666666.754255.peg.373	Methionyl-tRNA synthetase (EC 6.1.1.10)	KEGG_ENZYME:6.1.1.10
6666666.754255.peg.374	Multidrug resistance transporter%2C Bcr/CflA family	
6666666.754255.peg.375	Uncharacterized metal-dependent hydrolase YcfH	
6666666.754255.peg.376	Ribonuclease M5 (EC 3.1.26.8)	KEGG_ENZYME:3.1.26.8
6666666.754255.peg.377	SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)	KEGG_ENZYME:2.1.1.182
6666666.754255.peg.378	Veg protein	
6666666.754255.peg.379	Diphosphocytidyl-sugar kinase	
6666666.754255.peg.380	cell surface hydrolase%2C membrane-bound (putative)	
6666666.754255.peg.381	Zinc ABC transporter%2C ATP-binding protein ZnuC	
6666666.754255.peg.382	Zinc ABC transporter%2C permease protein ZnuB	
6666666.754255.peg.383	Pur operon repressor PurR	
6666666.754255.peg.384	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	KEGG_ENZYME:2.7.7.23,KEGG_ENZYME:2.3.1.157
6666666.754255.peg.385	Beta-lactamase class A	
6666666.754255.peg.386	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	KEGG_ENZYME:2.7.6.1
6666666.754255.peg.387	integral membrane protein	
6666666.754255.peg.388	FIG00745599: hypothetical protein	
6666666.754255.peg.389	Sugar phosphatase YidA (EC 3.1.3.23)	KEGG_ENZYME:3.1.3.23
6666666.754255.peg.390	dNTP triphosphohydrolase%2C broad substrate specificity	
6666666.754255.peg.391	Lipoate-protein ligase A	
6666666.754255.peg.392	hypothetical protein	
6666666.754255.peg.393	FIG00743387: hypothetical protein	
6666666.754255.peg.394	DNA-directed RNA polymerase delta subunit (EC 2.7.7.6)	KEGG_ENZYME:2.7.7.6
6666666.754255.peg.395	CTP synthase (EC 6.3.4.2)	KEGG_ENZYME:6.3.4.2
6666666.754255.peg.396	Seryl-tRNA synthetase (EC 6.1.1.11)	KEGG_ENZYME:6.1.1.11
6666666.754255.peg.397	hypothetical protein	
6666666.754255.peg.398	Serine transporter	
6666666.754255.peg.399	L-serine dehydratase%2C beta subunit (EC 4.3.1.17)	KEGG_ENZYME:4.3.1.17
6666666.754255.peg.400	L-serine dehydratase%2C alpha subunit (EC 4.3.1.17)	KEGG_ENZYME:4.3.1.17
6666666.754255.peg.401	YheO-like PAS domain	
6666666.754255.peg.402	FIG00753657: hypothetical protein	
6666666.754255.peg.403	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)	KEGG_ENZYME:2.5.1.7
6666666.754255.peg.404	Transcription termination factor Rho	
6666666.754255.peg.405	LSU ribosomal protein L31p @ LSU ribosomal protein L31p%2C zinc-independent	
6666666.754255.peg.406	FIG00744597: hypothetical protein	
6666666.754255.peg.407	Sortase A%2C LPXTG specific	
6666666.754255.peg.408	LemA protein	
6666666.754255.peg.409	Heat shock protein HtpX	
6666666.754255.peg.410	FIG00742663: hypothetical protein	
6666666.754255.peg.411	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)	KEGG_ENZYME:6.3.2.10
6666666.754255.peg.412	DEAD-box ATP-dependent RNA helicase DeaD ( CshA) (EC 3.6.4.13)	KEGG_ENZYME:3.6.4.13
6666666.754255.peg.413	Holo-[acyl-carrier-protein] synthase (EC 2.7.8.7)	KEGG_ENZYME:2.7.8.7
6666666.754255.peg.414	Alanine racemase (EC 5.1.1.1)	KEGG_ENZYME:5.1.1.1
6666666.754255.peg.415	Programmed cell death toxin YdcE	
6666666.754255.peg.416	Kup system potassium uptake protein	
6666666.754255.peg.417	ABC-type nitrate/sulfonate/bicarbonate transport systems%2C periplasmic components	
6666666.754255.peg.418	Alkanesulfonates transport system permease protein	
6666666.754255.peg.419	ABC transporter%2C ATP-binding protein (cluster 1%2C maltose/g3p/polyamine/iron)%3B ABC transporter%2C ATP-binding protein (cluster 10%2C nitrate/sulfonate/bicarbonate)	
6666666.754255.peg.420	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	KEGG_ENZYME:6.3.5.5
6666666.754255.peg.421	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	KEGG_ENZYME:6.3.5.5
6666666.754255.peg.422	N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	KEGG_ENZYME:1.2.1.38
6666666.754255.peg.423	Glutamate N-acetyltransferase (EC 2.3.1.35) @ N-acetylglutamate synthase (EC 2.3.1.1)	KEGG_ENZYME:2.3.1.35,KEGG_ENZYME:2.3.1.1
6666666.754255.peg.424	N-acetylglutamate kinase (EC 2.7.2.8)	KEGG_ENZYME:2.7.2.8
6666666.754255.peg.425	N-acetylornithine aminotransferase (EC 2.6.1.11)	KEGG_ENZYME:2.6.1.11
6666666.754255.peg.426	Ornithine carbamoyltransferase (EC 2.1.3.3)	KEGG_ENZYME:2.1.3.3
6666666.754255.peg.427	Substrate-specific component QueT (COG4708) of predicted queuosine-regulated ECF transporter	
6666666.754255.peg.428	Oligopeptide ABC transporter%2C substrate-binding protein OppA (TC 3.A.1.5.1)	
6666666.754255.peg.429	Proline iminopeptidase (EC 3.4.11.5)	KEGG_ENZYME:3.4.11.5
6666666.754255.peg.430	Proline iminopeptidase (EC 3.4.11.5)	KEGG_ENZYME:3.4.11.5
6666666.754255.peg.431	CBS domain protein	
6666666.754255.peg.432	L%2CD-transpeptidase	
6666666.754255.peg.433	L-lactate dehydrogenase (EC 1.1.1.27)	KEGG_ENZYME:1.1.1.27
6666666.754255.peg.434	Peptidyl-tRNA hydrolase (EC 3.1.1.29)	KEGG_ENZYME:3.1.1.29
6666666.754255.peg.435	Transcription-repair coupling factor	
6666666.754255.peg.436	FIG006789: Stage V sporulation protein	
6666666.754255.peg.437	Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)	
6666666.754255.peg.438	Cell division protein DivIC (FtsB)%2C stabilizes FtsL against RasP cleavage	
6666666.754255.peg.439	RNA binding protein%2C contains ribosomal protein S1 domain	
6666666.754255.peg.440	tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)	KEGG_ENZYME:6.3.4.19
6666666.754255.peg.441	Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)	KEGG_ENZYME:2.4.2.8
6666666.754255.peg.442	Cell division-associated%2C ATP-dependent zinc metalloprotease FtsH	
6666666.754255.peg.443	33 kDa chaperonin HslO	
6666666.754255.peg.444	tRNA-dihydrouridine synthase DusB	
6666666.754255.peg.445	Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)	KEGG_ENZYME:6.1.1.6
6666666.754255.peg.446	FIG00750509: hypothetical protein	
6666666.754255.peg.447	Di-tripeptide/cation symporter DtpT	
6666666.754255.peg.448	FIG00749187: hypothetical protein	
6666666.754255.peg.449	Integrase	
6666666.754255.peg.450	hypothetical protein	
6666666.754255.peg.451	hypothetical protein	
6666666.754255.peg.452	prophage ps3 protein 13	
6666666.754255.peg.453	prophage Lp4 protein 4	
6666666.754255.peg.454	hypothetical protein	
6666666.754255.peg.455	hypothetical protein	
6666666.754255.peg.456	hypothetical protein	
6666666.754255.peg.457	prophage Lp4 protein 7%2C DNA replication	
6666666.754255.peg.458	prophage Lp3 protein 8%2C helicase	
6666666.754255.peg.459	prophage Lp4 protein 11%2C DNA replication	
6666666.754255.peg.460	prophage Lp4 protein 12	
6666666.754255.peg.461	hypothetical protein	
6666666.754255.peg.462	hypothetical protein	
6666666.754255.peg.463	hypothetical protein	
6666666.754255.peg.464	hypothetical protein	
6666666.754255.peg.465	unknown	
6666666.754255.peg.466	hypothetical protein	
6666666.754255.peg.467	FIG00743644: hypothetical protein	
6666666.754255.peg.468	Serine/threonine protein phosphatase (EC 3.1.3.16)	KEGG_ENZYME:3.1.3.16
6666666.754255.peg.469	Inner membrane protein YbiR%2C putative anion permease	
6666666.754255.peg.470	Ribosyl nicotinamide transporter%2C PnuC-like	
6666666.754255.peg.471	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	KEGG_ENZYME:1.5.1.2
6666666.754255.peg.472	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	KEGG_ENZYME:3.5.1.25
6666666.754255.peg.473	Predicted transcriptional regulator of N-Acetylglucosamine utilization%2C GntR family	
6666666.754255.peg.474	N-acetylmannosaminyltransferase (EC 2.4.1.187)	KEGG_ENZYME:2.4.1.187
6666666.754255.peg.475	Nicotinate phosphoribosyltransferase (EC 6.3.4.21)	KEGG_ENZYME:6.3.4.21
6666666.754255.peg.476	NAD synthetase (EC 6.3.1.5)	KEGG_ENZYME:6.3.1.5
6666666.754255.peg.477	Calcium-transporting ATPase (EC 3.6.3.8)	KEGG_ENZYME:3.6.3.8
6666666.754255.peg.478	FIG00743265: hypothetical protein	
6666666.754255.peg.479	Transcription accessory protein (S1 RNA-binding domain)	
6666666.754255.peg.480	Putative metallopeptidase (Zinc) SprT family	
6666666.754255.peg.481	Homoserine dehydrogenase (EC 1.1.1.3)	KEGG_ENZYME:1.1.1.3
6666666.754255.peg.482	Homoserine kinase (EC 2.7.1.39)	KEGG_ENZYME:2.7.1.39
6666666.754255.peg.483	FIG00753191: hypothetical protein	
6666666.754255.peg.484	PTS system%2C mannose-specific IIA component (EC 2.7.1.191) / PTS system%2C mannose-specific IIB component (EC 2.7.1.191)	KEGG_ENZYME:2.7.1.191,KEGG_ENZYME:2.7.1.191
6666666.754255.peg.485	PTS system%2C mannose-specific IIC component	
6666666.754255.peg.486	PTS system%2C mannose-specific IID component	
6666666.754255.peg.487	Putative regulator of the mannose operon%2C ManO	
6666666.754255.peg.488	NtrC family Transcriptional regulator%2C ATPase domain	
6666666.754255.peg.489	PTS system%2C mannose-specific IIA component (EC 2.7.1.191) / PTS system%2C mannose-specific IIB component (EC 2.7.1.191)	KEGG_ENZYME:2.7.1.191,KEGG_ENZYME:2.7.1.191
6666666.754255.peg.490	PTS system%2C mannose-specific IIA component (EC 2.7.1.191) / PTS system%2C mannose-specific IIB component (EC 2.7.1.191)	KEGG_ENZYME:2.7.1.191,KEGG_ENZYME:2.7.1.191
6666666.754255.peg.491	3-oxoacyl-[acyl-carrier-protein] synthase%2C KASIII (EC 2.3.1.180)	KEGG_ENZYME:2.3.1.180
6666666.754255.peg.492	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	
6666666.754255.peg.493	Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)	KEGG_ENZYME:6.3.4.14
6666666.754255.peg.494	Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	KEGG_ENZYME:6.4.1.2
6666666.754255.peg.495	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	KEGG_ENZYME:6.4.1.2
6666666.754255.peg.496	Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr%2C subfamily F2	
6666666.754255.peg.497	Malate permease	
6666666.754255.peg.498	hypothetical protein	
6666666.754255.peg.499	Permease of the drug/metabolite transporter (DMT) superfamily	
6666666.754255.peg.500	Phosphoglycerate mutase (EC 5.4.2.11)	KEGG_ENZYME:5.4.2.11
6666666.754255.peg.501	extracellular zinc metalloproteinase (putative)( EC:3.4.24.- )	KEGG_ENZYME:3.4.24.-
6666666.754255.peg.502	Aminopeptidase C (EC 3.4.22.40)	KEGG_ENZYME:3.4.22.40
6666666.754255.peg.503	Ribose-5-phosphate isomerase A (EC 5.3.1.6)	KEGG_ENZYME:5.3.1.6
6666666.754255.peg.504	acetyltransferase (putative)	
6666666.754255.peg.505	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	KEGG_ENZYME:3.6.1.23
6666666.754255.peg.506	hypothetical protein	
6666666.754255.peg.507	DNA repair protein RadA	
6666666.754255.peg.508	Membrane-associated protein containing RNA-binding TRAM domain and ribonuclease PIN-domain%2C YacL B.subtilis ortholog	
6666666.754255.peg.509	Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)	KEGG_ENZYME:6.1.1.17,KEGG_ENZYME:6.1.1.24
6666666.754255.peg.510	Cysteinyl-tRNA synthetase (EC 6.1.1.16)	KEGG_ENZYME:6.1.1.16
6666666.754255.peg.511	Mini-ribonuclease III	
6666666.754255.peg.512	23S rRNA (guanosine(2251)-2'-O)-methyltransferase (EC 2.1.1.185)	KEGG_ENZYME:2.1.1.185
6666666.754255.peg.513	Uncharacterized protein YacP%2C similar to C-terminal domain of ribosome protection-type Tc-resistance proteins	
6666666.754255.peg.514	DNA-directed RNA polymerase specialized sigma subunit%2C sigma24-like	
6666666.754255.peg.515	LSU ribosomal protein L33p @ LSU ribosomal protein L33p%2C zinc-dependent	
6666666.754255.peg.516	Protein translocase subunit SecE	
6666666.754255.peg.517	Transcription antitermination protein NusG	
6666666.754255.peg.518	Cell surface hydrolase%2C membrane-bound	
6666666.754255.peg.519	LSU ribosomal protein L11p (L12e)	
6666666.754255.peg.520	LSU ribosomal protein L1p (L10Ae)	
6666666.754255.peg.521	LSU ribosomal protein L10p (P0)	
6666666.754255.peg.522	LSU ribosomal protein L7p/L12p (P1/P2)	
6666666.754255.peg.523	DNA-entry nuclease (Competence-specific nuclease) (EC 3.1.30.-)	KEGG_ENZYME:3.1.30.-
6666666.754255.peg.524	prophage Lp1 protein 66%2C lipoprotein precursor	
6666666.754255.peg.525	L-O-lysylphosphatidylglycerol synthase (EC 2.3.2.3)	KEGG_ENZYME:2.3.2.3
6666666.754255.peg.526	Transcriptional regulator%2C Xre family	
6666666.754255.peg.527	Lysine decarboxylase family	
6666666.754255.peg.528	Ribonucleotide reductase of class Ib (aerobic)%2C beta subunit (EC 1.17.4.1)	KEGG_ENZYME:1.17.4.1
6666666.754255.peg.529	Ribonucleotide reductase of class Ib (aerobic)%2C alpha subunit (EC 1.17.4.1)	KEGG_ENZYME:1.17.4.1
6666666.754255.peg.530	Glutaredoxin-like protein NrdH%2C required for reduction of Ribonucleotide reductase class Ib	
6666666.754255.peg.531	16S rRNA (guanine(1207)-N(2))-methyltransferase (EC 2.1.1.172)	KEGG_ENZYME:2.1.1.172
6666666.754255.peg.532	tRNA-specific adenosine-34 deaminase (EC 3.5.4.33)	KEGG_ENZYME:3.5.4.33
6666666.754255.peg.533	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)	KEGG_ENZYME:2.7.7.7
6666666.754255.peg.534	Nucleoid-associated protein YaaK	
6666666.754255.peg.535	Recombination protein RecR	
6666666.754255.peg.536	FIG015094: hypothetical protein	
6666666.754255.peg.537	ABC transporter%2C ATP-binding protein	
6666666.754255.peg.538	Mobile element protein	
6666666.754255.peg.539	ABC transporter%2C ATP-binding protein	
6666666.754255.peg.540	Ascorbate-specific PTS system%2C EIIA component (EC 2.7.1.-)	KEGG_ENZYME:2.7.1.-
6666666.754255.peg.541	hypothetical protein	
6666666.754255.peg.542	PTS system%2C IIC component%2C UlaA-type	
6666666.754255.peg.543	4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) @ 2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	KEGG_ENZYME:4.1.3.16,KEGG_ENZYME:4.1.2.14
6666666.754255.peg.544	Thymidylate kinase (EC 2.7.4.9)	KEGG_ENZYME:2.7.4.9
6666666.754255.peg.545	protein from nitrogen regulatory protein P-II (GLNB) family%2C ortholog YAAQ B. subtilis	
6666666.754255.peg.546	DNA polymerase III delta prime subunit (EC 2.7.7.7)	KEGG_ENZYME:2.7.7.7
6666666.754255.peg.547	DNA replication intiation control protein YabA	
6666666.754255.peg.548	16S rRNA (cytidine(1402)-2'-O)-methyltransferase (EC 2.1.1.198)	KEGG_ENZYME:2.1.1.198
6666666.754255.peg.549	Acyl-ACP thioesterase	
6666666.754255.peg.550	UDP-glucose 4-epimerase (EC 5.1.3.2)	KEGG_ENZYME:5.1.3.2
6666666.754255.peg.551	2-aminoethylphosphonate:pyruvate aminotransferase (EC 2.6.1.37)	KEGG_ENZYME:2.6.1.37
6666666.754255.peg.552	Phosphonoacetaldehyde hydrolase (EC 3.11.1.1)	KEGG_ENZYME:3.11.1.1
6666666.754255.peg.553	Phosphonate ABC transporter permease protein PhnE1 (TC 3.A.1.9.1)	
6666666.754255.peg.554	Phosphonate ABC transporter permease protein phnE2 (TC 3.A.1.9.1)	
6666666.754255.peg.555	Phosphonate ABC transporter ATP-binding protein PhnC (TC 3.A.1.9.1)	
6666666.754255.peg.556	Phosphonate ABC transporter substrate-binding protein PhnD (TC 3.A.1.9.1)	
6666666.754255.peg.557	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	
6666666.754255.peg.558	Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.128)	KEGG_ENZYME:2.3.1.128
6666666.754255.peg.559	Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.128)	KEGG_ENZYME:2.3.1.128
6666666.754255.peg.560	N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234)	KEGG_ENZYME:2.3.1.234
6666666.754255.peg.561	hypothetical protein	
6666666.754255.peg.562	hypothetical protein	
6666666.754255.peg.563	Bis-ABC ATPase YheS	
6666666.754255.peg.564	Redox-sensing transcriptional repressor Rex	
6666666.754255.peg.565	CAAX amino terminal protease family protein	
6666666.754255.peg.566	Heat shock protein 10 kDa family chaperone GroES	
6666666.754255.peg.567	Heat shock protein 60 kDa family chaperone GroEL	
6666666.754255.peg.568	Uncharacterized amino acid permease YdaO	
6666666.754255.peg.569	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33)	KEGG_ENZYME:2.7.8.33
6666666.754255.peg.570	Phosphate ABC transporter%2C substrate-binding protein PstS (TC 3.A.1.7.1)	
6666666.754255.peg.571	FIG000605: protein co-occurring with transport systems (COG1739)	
6666666.754255.peg.572	Mobile element protein	
6666666.754255.peg.573	Mobile element protein	
6666666.754255.peg.574	ComF operon protein A%2C DNA transporter ATPase	
6666666.754255.peg.575	ComF operon protein C	
6666666.754255.peg.576	Ribosome hibernation promoting factor Hpf	
6666666.754255.peg.577	Protein translocase subunit SecA	
6666666.754255.peg.578	Peptide chain release factor 2 @ programmed frameshift-containing	
6666666.754255.peg.579	Cell division topological determinant MinJ	
6666666.754255.peg.580	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	
6666666.754255.peg.581	Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)	KEGG_ENZYME:2.7.13.3
6666666.754255.peg.582	Phosphate ABC transporter%2C substrate-binding protein PstS (TC 3.A.1.7.1)	
6666666.754255.peg.583	Phosphate ABC transporter%2C permease protein PstC (TC 3.A.1.7.1)	
6666666.754255.peg.584	Phosphate ABC transporter%2C permease protein PstA (TC 3.A.1.7.1)	
6666666.754255.peg.585	Phosphate ABC transporter%2C ATP-binding protein PstB (TC 3.A.1.7.1)	
6666666.754255.peg.586	Phosphate ABC transporter%2C ATP-binding protein PstB (TC 3.A.1.7.1)	
6666666.754255.peg.587	Phosphate transport system regulatory protein PhoU	
6666666.754255.peg.588	phage shock protein C%2C PspC	
6666666.754255.peg.589	FIG00744847: hypothetical protein	
6666666.754255.peg.590	HPr kinase/phosphorylase	
6666666.754255.peg.591	Prolipoprotein diacylglyceryl transferase	
6666666.754255.peg.592	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)	KEGG_ENZYME:1.1.1.94
6666666.754255.peg.593	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	KEGG_ENZYME:2.7.7.9
6666666.754255.peg.594	protein containing diguanylate cyclase/phosphodiesterase domain 2 (EAL)	
6666666.754255.peg.595	Mobile element protein	
6666666.754255.peg.596	Mobile element protein	
6666666.754255.peg.597	hypothetical protein	
6666666.754255.peg.598	NADH peroxidase Npx (EC 1.11.1.1)	KEGG_ENZYME:1.11.1.1
6666666.754255.peg.599	hypothetical protein	
6666666.754255.peg.600	membrane protein	
6666666.754255.peg.601	FIG00750350: hypothetical protein	
6666666.754255.peg.602	Uncharacterized glycosyltransferase YdaM	
